,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details,VARIENTS
12,Maruti Suzuki XL6,K15C Smart Hybrid,1462 cc,Automatic,Petrol,20.27 kmpl,45 Litres,Mac Pherson Strut & Coil Spring,Torsion Beam & Coil Spring,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': '(Wake-up throgh """"Hi Suzuki"""" With Barge-in feature),Premium Sound System (Arkamys),'}","['XL6 Zeta', 'XL6 Zeta CNG', 'XL6 Alpha', 'XL6 Zeta AT', 'XL6 Alpha Plus']"
13,Maruti Suzuki Ignis,VVT,1197 cc,Automatic,Petrol,20.89 kmpl,32 Litres,McPherson Strut,Torsion Beam,"{'Touch Screen size': '7 Inch', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'N/A'}","['Ignis Sigma', 'Ignis Delta', 'Ignis Delta AMT', 'Ignis Zeta', 'Ignis Zeta AMT']"
14,Maruti Suzuki Ciaz,K15 Smart Hybrid Petrol Engine,1462 cc,Automatic,Petrol,20.04 kmpl,43 Litres,McPherson,Torsion Beam,"{'Touch Screen size': '7 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'N/A'}","['Ciaz Sigma', 'Ciaz Delta', 'Ciaz Zeta', 'Ciaz Delta AT', 'Ciaz Alpha']"
15,Maruti Suzuki Invicto,Nickel Metal Hydride,1987 cc,Automatic,Petrol,23.24 kmpl,52 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': '10.09 Inch', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Apple CarPlay'}","['Invicto Zeta Plus 7Str', 'Invicto Zeta Plus 8Str', 'Invicto Alpha Plus 7Str']"
16,Maruti Suzuki S-Presso,K1OC CNG,998 cc,Manual,CNG,32.73 km/kg,55 Litres,MacPherson Strut with Coil Spring and Stabilizer Bar,Torsion Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'SmartPlay Dock,USB Connectivity'}","['S-Presso STD', 'S-Presso LXi', 'S-Presso VXI', 'S-Presso VXi Plus', 'S-Presso VXi Opt AT']"
17,Maruti Suzuki Ertiga Tour,K15B,1462 cc,Manual,CNG,26.08 km/kg,60 Litres,MacPherson Strut & Coil Spring,Rear Twist Beam & Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Audio systemwith electrostatic touch buttons,steering mounted calling control'}","['Ertiga Tour STD', 'Ertiga Tour STD CNG']"
18,Maruti Suzuki Alto 800 tour,F8D,796 cc,Manual,Petrol,22.05 kmpl,35 Litres,Mac Pherson Strut,3-Link Rigid Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}",['Alto 800 tour H1 (O)']
19,Maruti Suzuki Eeco Cargo,K12N,1197 cc,Manual,CNG,27.05 km/kg,65 Litres,Mcpherson Strut,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Eeco Cargo STD', 'Eeco Cargo STD CNG', 'Eeco Cargo STD AC CNG']"
20,Maruti Suzuki Grand Vitara,M15D With Strong Hybrid,1490 cc,Automatic,Petrol,27.97 kmpl,45 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'SmartPlay Pro+, Arkamys Sound Tuning, Premium Sound System'}","['Grand Vitara Sigma', 'Grand Vitara Delta', 'Grand Vitara Delta CNG', 'Grand Vitara Delta AT', 'Grand Vitara Zeta']"
21,Maruti Suzuki Super Carry,Multi Point Fuel Injection G12B BS—VI,1196 cc,Manual,CNG,N/A,30 Litres,McPherson strut with Coil Spring,Leaf Spring Rigid Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}","['Super Carry Cab Chassis', 'Super Carry STD', 'Super Carry STD CNG']"
