,MAKE_MODEL,ENGINE_TYPE,ENGINE_DISPLACEMENT,TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE,TANK_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION
125,Audi Q8 Sportback e-tron,Twin Electric Motor,N/A,Automatic,Electric,N/A,N/A,Adaptive Air,Adaptive Air
126,Audi A8 L,55 TFSI quattro tiptronic,2995 cc,Automatic,Petrol,N/A,82 Litres,Five-link front axle; tubular anti-roll bar; air spring suspension,Five-link front axle; tubular anti-roll bar; air spring suspension
127,Audi RS Q8,V8 Twin Turbo Engine,3998 cc,Automatic,Petrol,N/A,85 Litres,Sport Adaptive Air Suspension,Sport Adaptive Air Suspension
128,Bajaj Qute (RE60),N/A,216 cc,Manual,CNG,43 km/kg,35 Litres,"Independent Suspension With Twin Leading Arm,Coil Over Shock Absorber & Anti Roll Bar",Independent Suspension With Semi Trailing Arm And Coil Over Shock Absorber
129,Bentley Continental,6.0 litre W12 petrol,5950 cc,Automatic,Petrol,12.9 kmpl,90 Litres,Air Suspension,Air suspension
130,Bentley Flying Spur,Twin Turbocharged W12 Eng,5950 cc,Automatic,Petrol,10.2 kmpl,90 Litres,Air Suspension,Air Suspension
131,Bentley Bentayga,4.0 V8 twin-turbocharged petrol engine,3993 cc,Automatic,Petrol,N/A,85 Litres,Four link Double Wishbones,Trapezoidak muliti-Link
132,BMW Z4,TwinPower Turbo 6-cylinder,2998 cc,Automatic,Petrol,N/A,52 Litres,Adaptive M suspension,Adaptive M suspension
133,BMW X1,B47 twin-turbo I4,1995 cc,Automatic,Diesel,20.37 kmpl,51 Litres,N/A,N/A
134,BMW X7,EngineType,2993 cc,Automatic,Diesel,14.31 kmpl,N/A,N/A,N/A
135,BMW X5,TwinPower Turbo 6-cylinder engine,2993 cc,Automatic,Diesel,12 kmpl,N/A,Adaptive 2-axle Air Suspension,Adaptive 2-axle Air Suspension
136,BMW i7,N/A,N/A,Automatic,Electric,N/A,N/A,Adaptive 2-axle Air Suspension,Adaptive 2-axle Air Suspension
137,BMW XM,EngineType,4395 cc,Automatic,Petrol,11.29 kmpl,N/A,Adaptive M Suspension,Adaptive M Suspension
138,BMW X3,EngineType,2998 cc,Automatic,Petrol,16.35 kmpl,65 Litres,independent damping,independent damping
139,BMW iX,N/A,N/A,Automatic,Electric,N/A,N/A,air suspension,air suspension
140,BMW 3 Series,EngineType,2998 cc,Automatic,Petrol,13.02 kmpl,59 Litres,M Sport Suspension,M Sport Suspension
