,MAKE_MODEL,ENGINE_TYPE,ENGINE_DISPLACEMENT,TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE,TANK_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION
19,Maruti Suzuki Eeco Cargo,K12N,1197 cc,Manual,CNG,27.05 km/kg,65 Litres,Mcpherson Strut,N/A
20,Maruti Suzuki Grand Vitara,M15D With Strong Hybrid,1490 cc,Automatic,Petrol,27.97 kmpl,45 Litres,MacPherson Strut,Torsion Beam
21,Maruti Suzuki Super Carry,Multi Point Fuel Injection G12B BS—VI,1196 cc,Manual,CNG,N/A,30 Litres,McPherson strut with Coil Spring,Leaf Spring Rigid Axle
22,Maruti Suzuki Swift Dzire Tour,K12M VVT I4,1197 cc,Manual,CNG,31.12 km/kg,55 Litres,Mac Pherson Strut,Torsion Beam
23,Maruti Suzuki Wagon R tour,K10C,998 cc,Manual,CNG,34.73 km/kg,60 Litres,MacPherson Strut with Coil Spring,Torsion Beam with Coil Spring
24,Tata Punch,1.2 l Revotron Engine,1199 cc,Automatic,Petrol,18.8 kmpl,37 Litres,"Independent, Lower Wishbone, Mcpherson Strut With Coil Spring",Semi-independent Twist Beam With Coil Spring And Shock Absorber
25,Tata Nexon,1.5L Turbocharged Revotorq,1497 cc,Automatic,Diesel,24.08 kmpl,N/A,"Independent, Lower Wishbone, McPherson Strut with Coil Spring","Semi-independent, Open Profile Twist Beam with Stabiliser Bar, Coil Spring and Shock Absorber"
26,Tata Harrier,Kryotec 2.0L,1956 cc,Automatic,Diesel,16.8 kmpl,50 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring & Anti Roll Bar",Semi Independent Twist Blade with Panhard Rod & Coil Spring
27,Tata Punch EV,N/A,N/A,Automatic,Electric,N/A,N/A,"Independent, Lower Wishbone, McPherson Strut with Coil Spring",Semi-independent Twist Beam With Coil Spring
28,Tata Safari,Kryotec 2.0L,1956 cc,Automatic,Diesel,N/A,50 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring & Anti-Roll Bar",Semi Independent Twist Blade with Panhard Rod & Coil Spring
29,Tata Tiago,1.2L Revotron,1199 cc,Automatic,CNG,28.06 km/kg,60 Litres,"Independent, Lower wishbone, McPherson Strut with coil spring","Semi-independent, closed profile twist beam with dual path strut"
30,Tata Altroz,1.5 l Turbocharged Revotorq,1497 cc,Manual,Diesel,23.64 kmpl,37 Litres,Independent MacPherson dual path strut with coil spring,Twist beam with coil spring and shock Absorber
31,Tata Nexon EV,N/A,N/A,Automatic,Electric,N/A,N/A,Independent MacPherson strut with coil spring,Twist beam with dual path Strut
32,Tata Tiago EV,N/A,N/A,Automatic,Electric,N/A,N/A,Independent Lower Wishbone McPherson Dual Path (Strut Type),Rear Twist Beam With Coil Spring
33,Tata Tigor,1.2L Revotron,1199 cc,Automatic,CNG,28.06 km/kg,70 Litres,"Independent, Lower Wishbone, McPherson Strut with Coil Spring","Semi-independent, Closed Profile Twist, Beam with Dual Path Strut"
34,Tata Tigor EV,N/A,N/A,Automatic,Electric,N/A,N/A,Independent MacPherson strut with coil spring,Twist beam with dual path strut
35,Tata Tiago NRG,1.2L Revotron,1199 cc,Automatic,CNG,26.49 km/kg,35 Litres,"Independent, Lower wishbone, McPherson Strut with coil spring","Semi-independent, Rear Twist Beam with Dual path Strut"
36,Tata Yodha Pickup,TATA 4SP CR TCIC,2956 cc,Manual,Diesel,N/A,45 Litres,Semi-elliptical leaf springs-6leaves,Innovative Two-stage Semi-elliptical leaf springs-7leaves
37,Kia Sonet,1.5L CRDi VGT,1493 cc,Automatic,Diesel,N/A,45 Litres,McPherson Strut with Coil Spring,Coupled Torsion beam Axle (CTBA) With Coil Spring
38,Kia Seltos,1.5l CRDi VGT,1493 cc,Automatic,Diesel,19.1 kmpl,50 Litres,McPherson Strut With Coil Spring,Coupled Torsion Beam Axle With Coil Spring
39,Kia EV6,N/A,N/A,Automatic,Electric,N/A,N/A,McPherson suspension,Multi-Link
40,Kia Carens,CRDi VGT,1493 cc,Automatic,Diesel,21 kmpl,45 Litres,McPherson Strut with coil spring,Coupled Torsion Beam Axle with Coil Spring
41,Toyota Fortuner,2.8 L Diesel engine,2755 cc,Automatic,Diesel,N/A,N/A,Double Wishbone,4-Link With Coil Spring
42,Toyota Taisor,1.0L K-Series Turbo,998 cc,Automatic,Petrol,20 kmpl,37 Litres,MacPherson Strut,Torsion Beam
43,Toyota Innova Crysta,2.4L Diesel Engine,2393 cc,Manual,Diesel,N/A,55 Litres,Double Wishbone With Torsion Bar,4-Link with Coil Spring
44,Toyota Land Cruiser 300,F33A-FTV,3346 cc,Automatic,Diesel,11 kmpl,110 Litres,Double Wishbone Independent,4-Link Rigid
45,Toyota Urban Cruiser Hyryder,M15D-FXE,1490 cc,Automatic,Petrol,27.97 kmpl,45 Litres,MacPherson Strut,Torsion Beam
46,Toyota Hilux,2.8 L Diesel Engine,2755 cc,Automatic,Diesel,N/A,80 Litres,Double wishbone,Leaf spring rigid axle
47,Toyota Rumion,K15C HYBRID,1462 cc,Automatic,Petrol,20.11 kmpl,45 Litres,Macpherson Strut & Coil Spring,Torsion Beam & Coil Spring
48,Toyota Vellfire,2.5-litre a Hybrid,2487 cc,Automatic,Petrol,N/A,60 Litres,Macpherson Strut,Double Wishbone
49,Toyota Camry,2.5L Dynamic Force Engine,2487 cc,Automatic,Petrol,N/A,50 Litres,Macpherson Strut,Double Wishbone
50,Toyota Fortuner Legender,2.8 L Diesel engine,2755 cc,Automatic,Diesel,N/A,80 Litres,Double Wishbone,4-Link With Coil Spring
51,Toyota Glanza,1.2 L Petrol Engine,1197 cc,Automatic,Petrol,22.94 kmpl,37 Litres,MacPherson Strut,Torsion Beam
52,Toyota Innova Hycross,2.0 TNGA 5th Generation in-line VVTi,1987 cc,Automatic,Petrol,23.24 kmpl,52 Litres,MacPherson Strut,Semi-independent Torsion beam
53,Hyundai Creta,1.5L T-GDi,1482 cc,Automatic,Petrol,18.4 kmpl,50 Litres,McPherson strut with coil spring,Coupled torsion beam axle
54,Hyundai Venue,Kappa 1.0L Turbo,998 cc,Automatic,Petrol,18.31 kmpl,45 Litres,McPherson strut with coil spring,Coupled torsion beam axle with coil spring
55,Hyundai Verna,1.5L Turbo GDi Petrol,1482 cc,Automatic,Petrol,20.6 kmpl,45 Litres,Mcpherson strut with coil spring,Coupled Torsion Beam Axle
56,Hyundai Exter,1.2l Kappa,1197 cc,Automatic,Petrol,19.2 kmpl,37 Litres,McPherson Strut,Coupled Torsion Beam Axle
57,Hyundai i20,1.2L Kappa Petrol,1197 cc,Automatic,Petrol,20 kmpl,37 Litres,McPherson strut,Coupled torsion beam axle
58,Hyundai Aura,1.2 L Bi-Fuel,1197 cc,Manual,CNG,22 km/kg,65 Litres,McPherson strut,Coupled torsion beam axle
59,Hyundai Alcazar,1.5 l diesel CRDi engine,1493 cc,Automatic,Diesel,23.8 kmpl,50 Litres,McPherson strut with coil spring,Coupled torsion beam axle
60,Hyundai Tucson,2.0 L D CRDi I4,1997 cc,Automatic,Diesel,N/A,54 Litres,McPherson strut,Multi-link with coil spring
61,Hyundai Creta N Line,1.5L Turbo GDi Petrol,1482 cc,Automatic,Petrol,18.2 kmpl,50 Litres,McPherson strut with coil spring,Coupled torsion beam axle
62,Hyundai Kona Electric,N/A,N/A,Automatic,Electric,N/A,N/A,McPherson strut type,Multi - link
63,Hyundai Venue N Line,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Hyundai Grand i10 Nios,1.2 Kappa petrol,1197 cc,Automatic,Petrol,16 kmpl,37 Litres,McPherson strut,Coupled torsion beam axle
65,Hyundai i20 N-Line,1.0 l Turbo GDi petrol,998 cc,Automatic,Petrol,N/A,37 Litres,McPherson strut,Coupled torsion beam axle
66,Hyundai IONIQ 5,N/A,N/A,Automatic,Electric,N/A,N/A,McPherson Strut,Multi-link
67,Mahindra Thar,mHawk 130 CRDe,2184 cc,Automatic,Diesel,N/A,57 Litres,Independent Double Wishbone Front Suspension with Coil Over Damper & Stabiliser Bar,Multilink Solid Rear Axle with Coil Over Damper & Stabiliser Bar
68,Mahindra Scorpio,mHAWK 4 Cylinder,2184 cc,Manual,Diesel,N/A,60 Litres,"Double Wish-bone Type, Independent Front Coil Spring",Multi Link Coil Spring Suspension and Anti-roll Bar
69,Mahindra XUV300,CRDi,1497 cc,Automatic,Diesel,19.7 kmpl,42 Litres,MacPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring
70,Mahindra XUV700,mHAWK (CRDi),2198 cc,Automatic,Diesel,16.57 kmpl,60 Litres,McPherson Strut Independent Suspension with FSD and Stabilizer bar,Multi-Link Independent Suspension with FSD Stabilizer bar
71,Mahindra Bolero,mHAWK75,1493 cc,Manual,Diesel,16 kmpl,60 Litres,FS Coil Spring,Rigid Leaf Spring
72,Mahindra Scorpio N,mHawk (CRDi),2198 cc,Automatic,Diesel,N/A,57 Litres,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL
73,Mahindra Bolero Neo,mHAWk100,1493 cc,Manual,Diesel,17.29 kmpl,50 Litres,N/A,N/A
74,Mahindra XUV400 EV,N/A,N/A,Automatic,Electric,N/A,N/A,MacPherson Strut with Anti Roll Bar,Twist Beam with Coil Spring
75,Mahindra Marazzo,D15 1.5L,1497 cc,Manual,Diesel,17.3 kmpl,45 Litres,Double Wishbone,Twist Beam
76,Mahindra Bolero Camper,m2DiCR 4 Cyl 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,Coil Springs,Rigid axle with leaf spring
77,Mahindra Bolero PikUp ExtraLong,m2DiCR 4 cly 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,Rigid leaf spring suspension,Rigid leaf spring suspension
78,Mahindra Bolero Maxitruck Plus,MSI 2500 CNG,2523 cc,Manual,CNG,17.2 km/kg,146 Litres,"Rigid, Leaf Spring","Rigid, Leaf Spring"
79,Mahindra BOLERO PikUP ExtraStrong,N/A,1298 cc,Manual,CNG,N/A,N/A,N/A,N/A
80,Honda City,i-VTEC,1498 cc,Automatic,Petrol,18.4 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring
81,Honda Amaze,i-VTEC,1199 cc,Automatic,Petrol,18.3 kmpl,35 Litres,"McPherson Strut, Coil Spring","Torsion Bar, Coil Spring"
82,Honda City Hybrid,i-VTEC,1498 cc,Automatic,Petrol,27.13 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring
83,Honda Elevate,i-VTEC,1498 cc,Automatic,Petrol,16.92 kmpl,40 Litres,MacPherson Strut With Coil Spring,Torsion Beam With Coil Spring
84,MG Hector,1.5 L Turbocharged Intercooled,1451 cc,Automatic,Petrol,12.34 kmpl,60 Litres,Mcpherson strut + coil springs,Beam assemble + coil spring
85,MG Astor,220TURBO,1349 cc,Automatic,Petrol,14.34 kmpl,45 Litres,MacPherson Strut,Torsion Beam
86,MG Gloster,DIESEL 2.0L TWIN TURBO,1996 cc,Automatic,Diesel,12.04 kmpl,75 Litres,Double-wishbone Suspension,Multi-link Double Suspension
